satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC
JCSAT-12 (JCSAT-RA),09044A,0.4520607352701781,2.771184108792513,2.8726689165311994
OPTUS D3,09044B,0.7749253202798145,659.5419103202395,1.286118277486089
NIMIQ 5,09050A,0.8273347932986029,93.68799789663154,296.73924362385515
OCEANSAT-2,09051A,0.00254612150929,0.0075162689050376,0.0032806120687724
SWISSCUBE,09051B,0.0033225286998664,0.0721036264087322,0.0001708298769215
BEESAT-1,09051C,0.0039390113620033,0.1075151121713766,0.0002484669987167
ITUPSAT1,09051E,0.0040383527201197,0.0818636707947006,3.2807686504700126e-05
AMAZONAS 2,09054A,0.1691436037306962,0.911176377307352,0.0004764542925621
COMSATBW-1,09054B,0.0767563648047785,4.333596554785695,1.3036451920855627
WORLDVIEW-2 (WV-2),09055A,0.0023969335852773,0.0026921647068712,0.0016671537304357
DMSP 5D-3 F18 (USA 210),09057A,0.0020728795862101,0.0031603771378036,0.002211817631647
NSS-12,09058A,0.2053252015620518,0.1107761615683939,0.0115285028390811
THOR 6,09058B,1.1704501655014656,12.482498337360216,84.0029308370926
SMOS,09059A,0.0022257544657306,0.0010578076908562,0.0001273007300799
PROBA-2,09059B,0.0026151055629282,0.0018558532004061,0.0001305149565691
POISK,09060A,0.0003269997449952,2.209453934908034,0.0451886029594013
SJ-11-01,09061A,0.0013106133120361,0.493207541735007,0.000324664177964
COSMOS 2455,09063A,0.0041432804438253,0.0034340780984558,0.0155206718030844
INTELSAT 14 (IS-14),09064A,0.2324902798464072,0.3490451234919897,13.856993196790672
EUTELSAT 36B,09065A,0.2284625179333463,0.8128162340374332,0.0217033474039841
INTELSAT 15 (IS-15),09067A,0.0613976212095329,0.8491247878580106,1.9909559679382665
WGS F3 (USA 211),09068A,0.0647558836653293,6.112405804413466,2.0482443623355904
YAOGAN-7,09069A,0.0043292259538929,0.070424058509413,2.7868889347782848e-05
COSMOS 2456 [GLONASS-M],09070A,0.0019438123726672,0.0427012475961922,0.0001457538802526
COSMOS 2457 [GLONASS-M],09070B,0.0063833371808532,0.059526281536714,0.0010909643724868
YAOGAN-8,09072A,0.0004725564489266,0.0625806360244049,0.0009979148944345
XIWANG-1 (HOPE-1),09072B,3.220083836525509e-06,0.2344957249821264,0.0047839866670891
DIRECTV 12,09075A,0.0762673498295238,38.125830012813886,51.37629556980784
BEIDOU-2 G1,10001A,0.0217287258953346,3.2500252313166467,0.0014267050406372
SDO,10005A,0.002617760164577,0.0115431140986502,0.0125405088636014
INTELSAT 16 (IS-16),10006A,0.075907047554404,31.43097070765311,4.163760019632019
COSMOS 2460 [GLONASS-M],10007C,0.0002716001309496,0.0077085654474103,0.0015349838389525
EWS-G2 (GOES 15),10008A,0.027493230157327,4.295711050885558,0.0043514755072643
YAOGAN-9 01A,10009A,0.0059269524367915,0.0003069702860159,0.0048354183816293
YAOGAN-9 01B,10009B,0.0059342083372893,0.00038347290731,0.005033897327585
YAOGAN-9 01C,10009C,0.0057280478455523,0.0050029874812549,0.005307214034658
ECHOSTAR 14,10010A,0.2096281404034038,4.110804141278574,8.327541626050792
CRYOSAT 2,10013A,0.0130686675218781,0.0031226111920956,3.797449777107809e-06
SES-1,10016A,0.0054123455318844,1.3381973572150507,0.0210189264861411
COSMOS 2463,10017A,0.0003892142027187,0.002428557807996,1.1905780595994434e-05
ASTRA 3B,10021A,0.1030556681560406,0.0150250727241276,0.0102652472611016
COMSATBW-2,10021B,1.7302812262030391,3.5875399031865207,15.464255717646877
NAVSTAR 65 (USA 213),10022A,0.0048779153931055,0.1322743449547056,0.00136705536431
BEIDOU-2 G3,10024A,0.2202975974237534,1.894504756054248,0.002174337237071
BADR-5,10025A,0.942973410268679,2.177901173606596,146.45185577417158
SJ-12,10027A,0.0087583825857833,1.8582750641001184,0.0012283975317764
TANDEM-X,10030A,0.0023592352497363,0.2272809090986984,4.607604999346371e-07
COMS 1,10032A,0.0938238127161756,0.3709820875837862,0.0044411156884278
ARABSAT-5A,10032B,0.0006381329731475,0.5428839882310164,2.491458626458093
ECHOSTAR 15,10034A,0.1969730176028981,29.445223809833937,0.6117180486798813
CARTOSAT-2B,10035A,0.0044173173177142,0.4622593351124291,0.0003339995919622
ALSAT-2A,10035D,0.0049659277575213,0.5614552936504635,0.0016545213942722
TISAT 1,10035E,0.0344043186988799,6.133551484857041,0.0014282760609291
BEIDOU-2 IGSO-1,10036A,0.0009205343742461,4.975759078178785,0.0163291647418039
NILESAT 201,10037A,0.3872387549717933,0.3902152389262869,0.1710673015192559
RASCOM-QAF 1R,10037B,0.1469609761764015,0.0230316751833675,0.4069209339797522
YAOGAN-10,10038A,0.0023903744471741,0.5971245309335151,4.365164678394617e-06
AEHF-1 (USA 214),10039A,0.0783247557159827,0.6150930453215036,0.0003274665133766
COSMOS 2467,10043A,4.659524083015249e-05,0.0001428343639566,0.0006100523401773
STRELA 3,10043B,0.0011581894287794,0.1799212478220711,0.0009392631891344
COSMOS 2468 (RODNIK-S 3),10043C,0.0001970082993114,0.0009795052114728,0.0002715712588206
YAOGAN-11,10047A,0.0029045759938295,0.0422962169889541,2.4211535430455445e-05
ZHEDA PIXING 1B,10047B,0.0028030412061271,7.057772108508551,0.0010236717830401
ZHEDA PIXING 1C,10047C,0.003045078687261,2.3302803882968632,0.001394328303342
SBSS (USA 216),10048A,0.0018827774590744,0.0342628275252749,0.0004595592702414
SHIJIAN-6 04A (SJ-6 04A),10051A,0.0210059461544054,42.48896234274847,0.0025747693393383
SHIJIAN-6 04B (SJ-6 04B),10051B,0.003897760142194,0.739733449643973,0.0025289689771805
XM-5,10053A,0.0087978368944265,1.4879949195534063,0.0498403149271914
GLOBALSTAR M079,10054A,0.0002013797697475,0.0007101756174177,0.002143979054821
GLOBALSTAR M074,10054B,0.0002293802809133,0.0002124978130591,0.0027199367736222
GLOBALSTAR M076,10054C,1.806628911403641e-05,0.0016933260757065,2.7478519172154883e-05
GLOBALSTAR M077,10054D,5.347105520394696e-05,0.0002548179103583,7.665043913708408e-05
GLOBALSTAR M075,10054E,0.0001560856764568,0.0021013164626962,0.0007006093181005
GLOBALSTAR M073,10054F,0.0001833736672122,0.0007473720513618,0.0033784256294272
BSAT-3B,10056B,0.2090901098072851,7.702086017783323,0.0006530450159417
BEIDOU-2 G4,10057A,0.4170454189294948,3.914169783912407,0.0020163386845339
FENGYUN 3B,10059A,0.001264200907259,0.45011541898739,0.0001489289378905
COSMO-SKYMED 4,10060A,0.0033457328485151,2.457792810438824,0.0004860252814684
SKYTERRA 1,10061A,0.0026828210412917,202.9208807451625,0.0160289112488995
O/OREOS (USA 219),10062C,0.0055833703539072,0.0125444109005557,0.0210748468064315
HYLAS 1,10065A,0.1630642667783384,0.017197695985488,0.0027332698615143
INTELSAT 17 (IS-17),10065B,0.0370190846372681,0.3554339732526261,0.5262613940335394
BEIDOU-2 IGSO-2,10068A,0.0264522248689431,4.775697375066331,0.0005976725280104
EUTELSAT KA-SAT 9A,10069A,0.5692500077755202,168.77988169191502,0.2068761751477695
HISPASAT 30W-5,10070A,0.3514082010519429,0.7177992040135444,4.294403659144695
KOREASAT 6,10070B,1.0715930700770029,30.48270265058588,144.26264715411094
BEIDOU-2 IGSO-3,11013A,0.2826831329239546,12.47056286989157,0.1402535985010415
RESOURCESAT-2,11015A,0.0019792105266131,0.000429331285859,0.0025575762101031
YOUTHSAT,11015B,0.0005393069528647,0.0013615079892624,5.779483347440895e-05
X-SAT,11015C,0.0017163021807872,0.3501382872156495,0.0020671956472959
