satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC,radial_outlier,in-track_outlier,cross-track_outlier
ASTRA 1M,08057A,0.012219479341433751,25.51350909356357,0.0896368159371515,1,1,0
YAOGAN-4,08061A,0.0055791290503675,0.0276251727594433,0.0006497884105873,0,0,0
EUTELSAT HOTBIRD 13C,08065A,0.012219479341433751,90.98843040592033,0.0085942670565524,1,0,0
GOSAT (IBUKI),09002A,0.0023243870140763,1.502060849981647,0.0008688551626408,0,0,0
STARS (KUKAI),09002G,0.008704482052959,1.2205794652581907,0.0019962911353754,0,0,0
KKS-1 (KISEKI),09002H,0.004092086350117,0.1186270544949366,5.813732633663816e-06,0,0,0
EXPRESS-AM44,09007A,0.012219479341433751,4.668662472874899,0.0031454211308826,1,0,0
NSS-9,09008A,0.012219479341433751,0.3736080062632022,0.0116946469374042,1,0,0
TELSTAR 11N,09009A,0.0048540157985691,96.16601414625694,0.01901756128441395,0,0,1
NAVSTAR 63 (USA 203),09014A,0.0271649647908656,0.0171381819331021,0.0054389722907671,0,0,0
WGS F2 (USA 204),09017A,0.012219479341433751,50.059203447827066,0.01901756128441395,1,0,1
SES-7 (PROTOSTAR 2),09027A,0.012219479341433751,86.6171372961096,0.01901756128441395,1,0,1
MEASAT-3A,09032A,0.012219479341433751,0.1653333917307909,0.01901756128441395,1,0,1
GOES 14,09033A,0.012219479341433751,0.2499181257579223,0.0035177023446265,1,0,0
FM-5,09034A,0.0514744068223177,1.4116238757207031,0.01901756128441395,0,0,1
TERRESTAR-1,09035A,0.012219479341433751,31.68374206040085,0.01901756128441395,1,0,1
COSMOS 2451,09036A,0.0012080287087768,0.0359605846924854,0.0008910098536006,0,0,0
COSMOS 2453,09036C,0.0010501063556692,0.0318642340169114,0.0008630906089477,0,0,0
DEIMOS-1,09041A,0.0028644450004561,0.5233527334256867,0.0014374060170481,0,0,0
DUBAISAT-1,09041B,0.0038074730493547,0.2047301874589758,0.0006158707003669,0,0,0
UK-DMC 2,09041C,0.0015694623240703,1.344743769331055,0.0016716103395739,0,0,0
